melt_off_glacier,melt_on_glacier,liq_prcp_off_glacier,liq_prcp_on_glacier
1.6609605881764174e-15,5.040314265986893,8.849007687154067e-17,0.15347864120811155
1.6434372599546875e-15,5.040314265986895,8.719938699334789e-17,0.15347864120811153
1.6288075235048498e-15,5.040314265986893,8.603755218479958e-17,0.15347864120811155
1.6107747853190188e-15,5.040314265986896,8.459757695236143e-17,0.15347864120811155
1.5960554157882578e-15,5.040314265986895,8.362277097479897e-17,0.15347864120811155
1.589010199142912e-15,5.040314265986896,8.305199096443477e-17,0.15347864120811155
1.582614965401952e-15,5.040314265986896,8.261200239533764e-17,0.15347864120811155
1.5812543024907688e-15,5.040314265986896,8.25370797016557e-17,0.15347864120811155
1.5824753810658888e-15,5.040314265986896,8.246318294598421e-17,0.15347864120811155
1.586538703128097e-15,5.040314265986896,8.256218416353317e-17,0.15347864120811155
1.5812017116844054e-15,5.040314265986895,8.225669038513916e-17,0.15347864120811155
1.5778447543829808e-15,5.040314265986897,8.21050924098227e-17,0.15347864120811153
1.5783635641230867e-15,5.040314265986898,8.211854474415208e-17,0.15347864120811155
1.5761241677696982e-15,5.040314265986897,8.18847362945231e-17,0.15347864120811155
1.568732480052002e-15,5.040314265986898,8.120601346564237e-17,0.15347864120811155
1.565877420002642e-15,5.040314265986898,8.085058586103711e-17,0.15347864120811155
1.5855003330094033e-15,5.040314265986899,7.974693200441e-17,0.15347864120811155
1.577310180697556e-15,5.0403142659869,7.907594676525168e-17,0.15347864120811153
1.5720737565516845e-15,5.040314265986899,7.863808891942036e-17,0.15347864120811155
1.5731669446339909e-15,5.0403142659869,7.857163272183976e-17,0.15347864120811155
1.573046585910428e-15,5.0403142659869,7.879750311958542e-17,0.15347864120811153
1.5787610462982491e-15,5.0403142659869,7.9015438784975e-17,0.15347864120811153
1.585723695903908e-15,5.0403142659869,7.963970267727247e-17,0.15347864120811155
1.59746229554947e-15,5.040314265986898,8.023760680675023e-17,0.15347864120811155
1.5978417093953117e-15,5.040314265986899,8.040119545644099e-17,0.15347864120811153
1.5952111501731888e-15,5.040314265986899,8.026140340132495e-17,0.15347864120811155
1.5882774510256404e-15,5.0403142659869,7.993301884538376e-17,0.15347864120811155
1.5813483875439646e-15,5.040314265986898,7.954911485743615e-17,0.15347864120811153
1.5717880630434455e-15,5.0403142659869,7.912862161581068e-17,0.15347864120811155
1.5718872671710366e-15,5.040314265986899,7.928891983836372e-17,0.15347864120811155
1.5705207387480594e-15,5.0403142659869005,7.937421516400782e-17,0.15347864120811153
1.577303755417008e-15,5.0403142659869005,7.980855181876259e-17,0.15347864120811155
1.5857582769497359e-15,5.0403142659869,8.050421132195975e-17,0.15347864120811155
1.592611167176877e-15,5.0403142659869005,8.111877403154092e-17,0.15347864120811153
1.6013386056464086e-15,5.0403142659869005,8.182952623109048e-17,0.15347864120811153
1.6118767683891343e-15,5.0403142659869,8.245098836443199e-17,0.15347864120811155
1.6206452242511719e-15,5.041456509071769,8.299870781382143e-17,0.15351765558484867
4.408373573121024e-06,5.0437253829080495,5.375957311345418e-07,0.15359563284728087
2.399171931176398e-05,5.047100697027278,2.207755056842757e-06,0.15371249485058222
6.929550771637615e-05,5.051560493274558,5.6586731098488425e-06,0.15386799991655553
0.00015111772866748693,5.0570796681112125,1.1587342666532506e-05,0.1540622250051236
0.0002805292648171499,5.06363281506914,2.0733901899189347e-05,0.15429477270293948
0.00046875788156728845,5.071194515120227,3.387638635103446e-05,0.1545655540256909
0.0007270968503370002,5.079739303806437,5.1827124911325536e-05,0.15487440887221937
0.0010668946996038055,5.089244180643663,7.542910312887973e-05,0.15522102516538724
0.0014994307121806063,5.099689782221247,0.00010555559917369235,0.15560499681110826
0.002036037230822304,5.11106431272367,0.00014311110171940473,0.15602609097544579
0.002688077290084385,5.123362771888422,0.00018903361250471076,0.15648395687217054
0.0034670069340603485,5.1365859015219275,0.0002443005525705916,0.1569780162993712
0.004384440265603978,5.150739255000245,0.0003099371111638642,0.15750785107503787
0.0054522464583790405,5.165833022005827,0.0003870176783282441,0.15807288847642434
0.006682608598959544,5.181877515967296,0.0004766762739239142,0.15867257274789465
0.008088064024422114,5.198879046745254,0.0005801145763626901,0.1593063879137954
0.009681519262700713,5.216835449156107,0.0006985992555174251,0.1599737411678577
0.011476290797785015,5.235735188989724,0.000833464267688764,0.16067378000507482
0.013485909501152658,5.25555754789806,0.0009861065853461351,0.16140568655436824
0.015724197772483343,5.276278382714862,0.00115799017512958,0.16216867881489477
0.018203804766723824,5.294621519423171,0.001350628603959389,0.16296186520022388
0.022700233008684498,5.311407845698495,0.0017490513669334107,0.16359947892374968
0.027424010406909557,5.32906978642695,0.0021673785998687026,0.16426797417285408
0.032388827644849884,5.34758961724207,0.002607095466883629,0.16496661457383346
